Employer Name,Employee Social Security Number,EIN,Control Number,Employee First Name,Employee Last Name,Employee Address & Zip Code,State,Employee State ID,"State wages, tips,etc",State Income Tax,Local Wages & Tips,Local Income Tax,Locality Name,"Wages, Tips & other Compensation",Federal Income Tax Withheld,Social Security Wages,Social Security Tax Withheld,Medicare Wages & Tips,Medicare Tax withheld,Social Security Tips,Allocated Tips,Verification Code,Dependent Care Benefits,Non-qualified Plans,12a Column 1,12a Column 2,12b Column 1,12b Column 2,12c Column 1,12c Column 2,12d Column 1,12d Column 2,Statutary Employee,Retirement plan,Third Party Sick Pay,Other
"Jill Quinn   ,   PSC 3555, Box 0790
APO AE 21360   ,   06294",447-25-2745,26-5-30-70,7785196,Cody,Morrow,"787 Olson Ville Suite 997
Alisonton, SC 89715",Michigan,346-67-450,1833,805.125,1714,2712,Port James,6441,966.15,1646,246.9,3384,507.6,526,3045.6,813261,106,275,EW,8800,JU,7228,UE,8102,TU,1607,True,True,True,TZ   02113
"Richard Greene   ,   PSC 2013, Box 2655
APO AA 02454   ,   25016",038-69-7553,28-0-10-58,4903444,Janice,Keith,"8191 Carmen Pines
Jamesside, NV 48945",Kentucky,942-11-130,2846,712.625,1685,3092,South Davidhaven,5701,855.15,4005,600.75,2042,306.3,551,1837.8,177863,131,140,SA,1860,RL,3809,CF,8468,LF,6777,False,True,False,DL   90115
"Kevin Kirk   ,   1316 Clark Lights Suite 682
New Joan, RI 14046   ,   72695",737-71-3581,09-2-76-14,6565619,Benjamin,Kim,"0838 Carter Roads
Wilsonville, RI 03681",Delaware,975-76-371,1611,956.625,1620,3703,Smithville,7653,1147.95,2429,364.35,3563,534.45,628,3206.7,70615,258,154,ER,7657,QZ,8039,IL,3017,LN,1478,True,False,True,SI   01264
"Steven Wilson   ,   USNV Clark
FPO AE 62155   ,   40625",488-17-1273,46-2-08-08,4633239,Jesse,Farmer,"105 Meghan Plains Suite 676
East Heather, NV 76749",Virginia,081-19-506,1943,1136.0,2123,2445,Lake Angela,9088,1363.2,1016,152.4,3043,456.45,903,2738.7,863197,122,138,BK,8808,JI,1380,AK,9314,BX,7110,False,False,False,EI   13164
"Crystal Franklin   ,   9196 Hernandez Orchard Apt. 957
New Kristine, WA 59199   ,   98604",731-68-1806,00-8-31-89,0053652,William,Cain,"894 Nicole Field
North Yvonneton, MI 53911",Delaware,624-19-287,1590,1042.125,1181,3138,Patriciaton,8337,1250.55,1530,229.5,3785,567.75,822,3406.5,267587,113,263,BO,8138,XU,5640,GN,9650,SB,5356,True,True,False,XI   01295
"Ruth Phillips MD   ,   3851 Amber Summit Suite 200
New Danielfort, IA 57526   ,   23032",246-93-3041,54-3-30-79,4064093,Jose,Mccarthy,"0644 Patricia Locks Suite 648
East Michaelfurt, MS 81592",Illinois,240-86-338,2051,1022.625,2928,2275,New Stacy,8181,1227.15,4401,660.15,2795,419.25,868,2515.5,23761,193,239,FI,3542,PF,9409,BM,8357,PG,8605,False,True,False,XJ   44527
"Melissa Stokes   ,   37205 Michelle Mill
Port Jeffborough, NY 22451   ,   47858",936-35-6213,85-3-90-25,7264214,Christopher,Lawrence,"4199 Calvin Summit
Annaborough, DE 93181",Mississippi,708-81-667,1534,782.625,2947,2578,South Megan,6261,939.15,2062,309.3,2247,337.05,630,2022.3,131509,148,285,KE,7067,OX,1851,MN,9509,MV,2284,False,True,False,DJ   76147
"Nathaniel Bell   ,   586 Cynthia Isle
Michaelborough, AR 75052   ,   58118",149-88-1250,23-8-33-32,8624414,Sergio,West,"367 Melanie Hills Apt. 217
Boydbury, WY 05375",New Hampshire,025-58-651,1896,802.5,2581,2768,Port Tara,6420,963.0,4009,601.35,2878,431.7,562,2590.2,10059,154,207,QZ,3007,QV,9444,PD,8113,FJ,2884,True,True,True,LK   51235
"Gregory Lopez   ,   8514 Adam Summit Suite 879
Johnside, WY 42580   ,   21592",605-91-8315,85-5-53-49,1008318,Sharon,Hall,"Unit 1210 Box 5290
DPO AP 11359",California,527-49-207,2607,1109.125,2303,2446,North Loretta,8873,1330.95,2609,391.35,2226,333.9,877,2003.4,447009,215,114,KG,2425,CA,2400,SZ,1141,PU,9680,False,False,True,CI   55306
"Brittney Morris   ,   0133 Anna Forge
Daniellebury, OK 07665   ,   83996",018-73-3098,41-8-29-32,1177179,Susan,Howard,"71370 Whitney Street
East Joanna, NE 98312",Iowa,489-20-987,2255,1021.625,2702,3070,New Crystal,8173,1225.95,2768,415.2,3202,480.3,681,2881.8,414066,244,274,LC,4446,XG,7194,II,9288,YN,1653,False,False,True,GK   13181
"Julian Castro   ,   66328 Eric Ford Apt. 962
Cynthiaport, UT 35135   ,   69301",979-45-8056,32-2-21-19,1067220,Tracy,Thompson,"3482 Morrison Grove Apt. 554
Kaylaburgh, NE 18418",Massachusetts,877-24-905,1018,1024.0,1438,3447,Lake Nicolestad,8192,1228.8,1918,287.7,3156,473.4,888,2840.4,545727,183,272,JC,8819,JL,8721,LD,3673,RB,2638,False,False,True,JF   54510
"Bradley Taylor   ,   488 Carroll Path Apt. 615
West Jonathan, KY 18840   ,   88216",482-54-2099,24-2-75-40,5208863,Sean,Baker,"2818 Lauren Center Suite 266
South Elizabeth, NV 47986",North Dakota,564-79-754,1626,851.875,2804,2289,South Randybury,6815,1022.25,1528,229.2,2712,406.8,500,2440.8,195281,140,169,DN,7480,MS,4351,LD,8573,RO,2386,True,True,True,WK   85523
"Robert Walker   ,   4978 Andrew Valley
New Brian, CO 20214   ,   06440",592-46-9962,80-7-38-04,6109645,Samantha,Casey,"2031 Autumn Lights
Milesville, KY 92701",Colorado,410-87-376,1588,662.25,2119,2440,Christopherport,5298,794.7,4936,740.4,3686,552.9,505,3317.4,739872,246,254,EU,1150,FC,2602,LI,3114,EU,7033,False,True,False,MO   32435
"Sarah Glenn MD   ,   00735 Jesse Lake
Port Jerrystad, MN 61581   ,   17672",326-95-4845,19-4-91-09,4044852,Charles,Palmer,"5337 French Crescent
Sarahport, KY 20474",Rhode Island,277-86-669,2116,922.0,1200,2604,South Maryhaven,7376,1106.4,4226,633.9,2120,318.0,929,1908.0,981180,114,120,EL,4916,KZ,7201,ZO,1761,TF,8440,False,False,True,ZW   28843
"Sandra Sanchez   ,   95856 Kelly Gardens
Greeneside, CA 06306   ,   53537",037-91-1192,69-8-30-06,0683886,Eric,Nguyen,"77869 Larson Junctions Suite 855
East Ryanland, FL 74237",Arizona,501-37-688,1286,1074.0,1563,2274,New Melissamouth,8592,1288.8,1236,185.4,2951,442.65,997,2655.9,814315,171,181,SW,7505,ZM,3673,CK,7223,CI,3423,False,True,False,KR   42083
"Ricardo Bishop   ,   USCGC Smith
FPO AA 86080   ,   00575",558-55-8689,48-0-50-10,4665459,Alan,Cox,"949 Wright Dam
New Edwardbury, NM 33895",Tennessee,378-78-369,1595,1136.375,1585,3003,East Richard,9091,1363.65,2603,390.45,2428,364.2,552,2185.2,736012,148,140,TK,5619,NU,4490,KT,3228,EL,7232,False,True,True,XX   64445
"Joshua Ramos   ,   USS Harrison
FPO AE 01264   ,   48245",386-34-4991,99-8-96-64,0639521,Brandon,Greene,"Unit 7890 Box 5403
DPO AA 29384",Mississippi,950-44-946,2283,890.0,1599,2741,Toddstad,7120,1068.0,2949,442.35,3080,462.0,731,2772.0,258869,233,148,KS,5628,ZI,5090,HZ,3559,MM,4026,False,True,True,FH   19820
"Christopher Morales   ,   7695 Barbara Branch Suite 519
Williamton, UT 53722   ,   56434",638-35-7084,69-3-41-08,0716191,Samantha,Butler,"USS Patel
FPO AE 24438",Virginia,638-12-358,2291,1147.0,1101,2860,Rodriguezmouth,9176,1376.4,3280,492.0,3995,599.25,935,3595.5,999927,110,119,PH,8034,ET,7204,WW,5361,JA,4092,False,True,False,VY   63311
"Tracy Kelly   ,   94210 Adam Highway Apt. 711
South James, TN 34211   ,   22335",259-82-4194,18-8-36-91,2937189,Jennifer,Vaughn,"0126 Lee Via
Tamarachester, NY 86175",Alaska,948-80-261,2442,772.625,1003,2288,Leebury,6181,927.15,1832,274.8,2829,424.35,714,2546.1,251024,289,256,IY,6108,TB,2689,JE,2369,HR,6935,True,True,True,YW   87926
"Whitney Boyle   ,   03844 Vaughn Bypass Apt. 576
East Brianfurt, CA 77744   ,   93467",082-40-5792,31-2-44-06,5998705,Ryan,Tran,"057 Novak Unions Apt. 395
Ambermouth, IL 02846",Nebraska,008-47-603,2112,902.875,2291,3596,Soniastad,7223,1083.45,3846,576.9,3447,517.05,894,3102.3,284134,153,298,MQ,2139,NS,3555,UV,3853,VN,6782,True,False,True,BF   73936
"Danny Goodman   ,   9940 Rebecca Avenue Apt. 519
Jennifertown, MO 53575   ,   33331",255-98-9765,14-1-66-46,1846324,Lynn,Wright,"USCGC Campbell
FPO AP 82865",Louisiana,462-47-030,2207,910.625,1935,3665,Moranstad,7285,1092.75,1357,203.55,3550,532.5,583,3195.0,591170,186,203,PI,2310,ZD,9760,RR,4540,EF,3408,True,False,False,YO   82746
"Rachel Brooks   ,   989 Lisa Street Suite 519
South Alexandra, VA 76906   ,   41674",664-39-0087,30-7-47-46,4287643,Ethan,Norton,"9493 Decker View
Kingfort, MS 03477",New Hampshire,256-68-652,1186,809.875,1297,2563,Manuelland,6479,971.85,1509,226.35,2991,448.65,575,2691.9,467812,233,285,GO,6737,FY,1904,KL,8551,DQ,2566,False,True,True,AM   25260
"Kevin Stokes   ,   419 Lopez Court
Robinmouth, SD 20811   ,   38237",677-98-6721,11-7-32-91,0558901,Sean,Smith,"11682 Tyler Court Apt. 965
Carlosborough, FL 03447",Alabama,102-61-904,1810,736.5,1057,2303,Adamsside,5892,883.8,1673,250.95,3143,471.45,598,2828.7,311961,231,240,PS,4318,SJ,2107,KN,6058,AE,2664,False,True,True,AF   40513
"Nicole Johnston   ,   7796 Nicholas Track
Amyfort, KY 92255   ,   09220",292-22-2304,35-7-65-12,6083599,Anthony,Lewis,"1890 Jackson Turnpike
Lake Michaelmouth, RI 87924",Alaska,601-13-533,1310,973.875,1581,3722,Brandonbury,7791,1168.65,1349,202.35,3738,560.7,870,3364.2,486858,233,281,SO,5212,OU,8208,RQ,1899,YI,1165,True,False,True,BS   63973
"Stacy Hamilton   ,   6557 Valerie Well
North Chris, UT 25817   ,   98705",261-55-1379,03-4-42-70,6548687,Ralph,Smith,"055 Chung Fields Suite 036
Thomaston, WI 11684",Ohio,115-11-239,2463,781.0,1511,2526,Comptonville,6248,937.2,3126,468.9,3471,520.65,900,3123.9,435732,174,240,ET,7322,SA,1681,IB,5046,AB,6333,True,False,True,JM   35804
"Jonathan Reyes   ,   08670 Sherry Stream Apt. 693
Jamiehaven, MO 24664   ,   16621",087-69-4748,71-9-35-57,5247015,Traci,Reid,"510 Kirby Plain Suite 017
Adamland, AK 61817",Connecticut,778-61-407,2626,1098.375,1379,3761,Kathrynberg,8787,1318.05,4050,607.5,3967,595.05,933,3570.3,402406,115,146,JP,6192,JU,4731,QB,9172,FS,7492,True,True,False,IS   72017
"Anne Bailey   ,   213 Sue Keys Suite 023
East Dean, WI 63550   ,   30898",410-40-2095,91-3-07-24,9337233,Earl,Bowen,"2798 Anderson Harbor
Bradleyland, LA 19806",Virginia,331-49-667,2820,777.625,1912,2585,Ericton,6221,933.15,4659,698.85,2581,387.15,887,2322.9,6344,226,239,MI,4658,OT,5213,VJ,3609,RT,1024,False,False,True,FU   01916
"Joshua Alexander   ,   524 Travis Pike Apt. 881
Port Jason, IL 16240   ,   33374",149-82-9240,51-0-24-59,1443548,Mary,Bright,"1756 Julie Points
East Kevinborough, AK 15360",Massachusetts,280-73-859,2826,648.5,1186,2469,Lake Philip,5188,778.2,1182,177.3,2560,384.0,817,2304.0,523173,139,200,UU,1609,MT,5904,HM,8821,OE,5355,False,True,True,ZI   68542
"Ashley Hoover   ,   2510 Dillon Summit
North Robertchester, LA 62798   ,   32361",377-44-1776,77-5-99-75,5590919,Mary,Robinson,"7156 Thomas Ville
Patricialand, CT 95220",Indiana,215-01-837,1586,1222.0,2089,2114,Sarahport,9776,1466.4,3748,562.2,2419,362.85,798,2177.1,234451,110,126,JC,7350,KL,3466,ZO,9701,SZ,9518,False,True,False,AX   79891
"Kristy Garcia   ,   868 Mack Oval
Lake Dwayne, AL 63967   ,   92258",733-12-3101,25-7-65-93,6731807,Gregory,Poole,"2378 Massey Mall
Jennyland, KS 61189",Minnesota,842-37-964,2218,788.0,2785,2219,Richardhaven,6304,945.6,4839,725.85,2559,383.85,721,2303.1,428621,175,241,UO,8110,VB,4800,HA,5176,VK,3066,False,False,False,MC   92562
"Hannah Crawford   ,   Unit 2261 Box 0052
DPO AA 62408   ,   50688",764-08-5242,11-1-97-50,3599603,Jimmy,Galvan,"020 Christopher Orchard
North Rodney, NJ 43234",Maine,678-09-308,1947,960.75,2098,2006,Port Ana,7686,1152.9,3378,506.7,2123,318.45,926,1910.7,483631,275,131,OZ,1378,RM,4081,LG,9937,BH,4450,True,False,False,DV   68061
"Anthony Cobb   ,   0527 Cruz Village
East Pamelafurt, DC 62091   ,   35238",645-68-1108,93-0-14-70,5423708,Shelia,Coleman,"815 Brown Gateway
South Nicole, CA 06312",North Carolina,729-13-101,2725,799.75,2525,2689,East Kyleshire,6398,959.7,3104,465.6,2246,336.9,780,2021.4,464780,285,116,GZ,7587,LW,6109,LM,6861,BT,8036,False,False,True,IU   24743
"Patrick West   ,   915 James Cape Suite 930
Maxwellmouth, ME 99772   ,   68249",033-30-1712,30-9-95-93,5639454,Joshua,Coleman,"9750 James Summit Apt. 748
Johnsonmouth, CA 21547",Connecticut,733-43-355,1083,699.0,1344,3994,Diazberg,5592,838.8,1914,287.1,3446,516.9,884,3101.4,158886,250,273,FB,5397,BO,1489,VH,4064,XF,6754,False,False,False,NN   03487
"Dennis Davidson   ,   5016 Rowland Fork Apt. 878
West Audrey, WY 76657   ,   88192",849-85-4032,22-7-50-06,8240918,Samuel,Irwin,"49167 Brady Lodge Apt. 859
Curtismouth, OR 92357",West Virginia,549-61-393,1742,1172.875,2838,3938,New Megan,9383,1407.45,1426,213.9,2466,369.9,506,2219.4,256240,242,291,RK,4937,YW,6083,SQ,3542,IR,2836,False,False,False,IG   14681
"Kimberly Mckee MD   ,   9469 Timothy Mountain Apt. 349
North Brianhaven, FL 40295   ,   53749",301-40-4894,96-6-15-51,9341578,Lori,Davis,"3271 Fuentes Bridge Suite 224
Deckerland, AZ 61040",New Jersey,225-09-182,2894,749.5,2115,3760,Stephenberg,5996,899.4,4914,737.1,2975,446.25,715,2677.5,685606,116,126,UV,7594,OG,5811,GH,2694,EX,2960,True,True,True,CL   58899
"Kathleen Fox   ,   693 Donna Port
West Debrashire, PA 91281   ,   99301",456-82-2587,02-3-90-76,0148151,Tiffany,Lane,"4565 Kevin Flats
Matthewfurt, NH 19433",Utah,646-22-670,2048,1216.75,1210,2282,Ianborough,9734,1460.1,3866,579.9,3504,525.6,562,3153.6,387243,195,295,LY,6350,QQ,2134,HA,5692,EN,6497,False,False,False,CJ   14494
"Dr. Samantha Spencer MD   ,   657 Hill Key
Wagnertown, AR 23939   ,   32776",951-07-2446,50-5-86-80,3394061,Nathan,Harris,"5555 Keith Isle Suite 555
South Mercedes, SD 46672",Virginia,612-58-947,1861,1220.125,1233,2344,Armstronghaven,9761,1464.15,2046,306.9,2572,385.8,661,2314.8,149335,191,225,RR,9283,ML,9872,MF,6742,YG,2599,True,True,True,JC   45321
"Cory Lane   ,   0118 Maria Causeway
West Aprilmouth, AK 61972   ,   20446",491-40-9443,59-3-20-07,5333773,Noah,Anderson,"17371 Patterson Parkways
Palmerborough, NC 61070",Hawaii,809-37-593,2662,1067.375,2058,3788,South William,8539,1280.85,1450,217.5,3103,465.45,617,2792.7,654859,249,133,SQ,5374,QU,4710,GU,1003,RM,9040,False,False,False,IT   89334
"Kevin Anderson   ,   1464 Jennifer Shoals Suite 776
Sullivanfort, DC 51491   ,   70430",397-83-9176,23-3-87-19,5707734,Daniel,Vaughn,"762 Denise Extensions
West Kimberly, MS 70733",Kentucky,948-79-135,2477,1023.75,1486,3908,Adrianville,8190,1228.5,1779,266.85,2359,353.85,613,2123.1,5627,220,294,XH,2661,RE,4313,RT,8258,RI,7617,False,False,False,MM   55194
"David Hicks   ,   081 Wright Rapid Apt. 214
East Dianestad, ND 61811   ,   23938",181-11-1583,32-2-65-39,7393675,Joshua,Acosta,"923 Angela Dam
Port Craig, LA 29851",Ohio,702-47-638,2076,643.875,1705,2196,Espinozaville,5151,772.65,4533,679.95,3266,489.9,625,2939.4,930466,227,155,FW,5017,HE,4796,FG,8094,AA,2858,False,True,False,NM   14588
"Cindy Walker   ,   514 Jessica Bridge
West Scott, RI 75379   ,   70750",049-82-7930,55-4-22-87,3311777,Cynthia,Clark,"615 Darlene Point Apt. 340
Port Michelle, VT 31058",Iowa,446-92-661,2059,910.0,2857,3266,Jamesmouth,7280,1092.0,4928,739.2,2786,417.9,758,2507.4,331767,128,266,KW,4553,LN,1862,HH,5045,WR,7788,False,False,True,TP   47347
"Brian Salas   ,   96388 Andrew Courts
Port Courtneyfurt, LA 18210   ,   61488",098-17-5885,18-6-24-09,3923509,Amy,Cannon,"6391 Kennedy Rapids Apt. 615
New Amyview, ME 54760",New York,769-69-233,1169,650.75,1434,2925,Tammybury,5206,780.9,1050,157.5,2663,399.45,844,2396.7,67297,175,139,OO,2809,SW,1381,KT,4443,WM,7859,False,True,True,JY   07740
"Kelsey Nelson MD   ,   132 Murray Hill
North Amanda, RI 19983   ,   78158",606-47-2692,41-4-84-41,0678077,Joshua,Young,"700 Burch Shores
Elizabethview, PA 86424",Delaware,372-99-538,1174,762.375,2248,2633,New Eugene,6099,914.85,3062,459.3,2803,420.45,889,2522.7,458836,192,183,WK,1821,II,5810,XK,2950,DP,8681,False,True,True,TT   82007
"Joseph Hunter   ,   USNV Allison
FPO AP 59601   ,   67059",219-77-9951,27-6-65-84,0468892,Jason,Davis,"13366 Daniel Shoal Apt. 770
Christianfort, IA 17556",California,102-78-524,1790,628.75,1053,3149,South Justinhaven,5030,754.5,3739,560.85,3299,494.85,825,2969.1,269469,239,196,MJ,7996,TH,6999,HI,9187,IH,7673,False,False,False,VI   63842
"Sarah Johnson   ,   5450 Hannah Manors Apt. 995
Callahanchester, AR 98232   ,   38521",352-35-9840,10-4-49-58,9014014,Veronica,Andrews,"4293 Jane Ranch Apt. 773
Edgarshire, NM 83587",Ohio,603-46-339,1869,1235.25,2151,2662,Williamsmouth,9882,1482.3,2259,338.85,3636,545.4,831,3272.4,544744,103,146,UD,1710,DH,2518,UE,1386,GZ,5318,True,True,False,YK   30816
"Jennifer Jackson   ,   7254 Erica Falls
Port Anthony, OH 77918   ,   96382",941-45-7077,64-4-15-53,9415651,Gregory,Dixon,"2581 Sierra Landing Suite 943
Oneillview, AL 01823",Delaware,247-53-337,2642,736.125,1687,3225,Schmidttown,5889,883.35,2282,342.3,3537,530.55,544,3183.3,527316,250,151,GP,1460,QM,3577,XY,4036,VB,6230,True,True,True,DP   34984
"Samantha Diaz   ,   48750 Maldonado Passage
East Katherine, OK 89727   ,   36809",434-63-1087,64-8-41-14,0108142,Gregory,Hughes,"34140 Atkins Meadows Apt. 220
North Kevin, MA 01582",Illinois,347-22-566,2604,861.625,1894,3117,South Michael,6893,1033.95,1971,295.65,3862,579.3,930,3475.8,876147,195,297,JQ,3041,BY,2102,NF,6431,OB,3157,True,True,False,UE   13070
"Rachel Cohen   ,   8922 Steven Hill
East Julie, OK 58554   ,   87889",076-00-0451,20-8-13-44,4545432,William,Martinez,"18855 Jesus Point Suite 128
North Anthonyville, WI 52949",Kansas,919-05-804,2019,1204.625,2555,2152,Christopherville,9637,1445.55,2507,376.05,3535,530.25,883,3181.5,257610,278,285,GO,3435,NW,8224,VT,9253,HR,5569,False,True,False,MI   58384
"William Goodman   ,   03290 Mills Terrace
Port Rachel, CO 02628   ,   38499",017-11-4015,55-6-55-36,6134370,Mrs.,Emily,"7975 Brewer Stream Suite 341
Lake Nicholas, DC 40311",Nevada,190-31-409,1881,760.125,2197,3702,Loweland,6081,912.15,4064,609.6,2364,354.6,700,2127.6,23856,199,266,JH,6633,VH,5578,QQ,4095,KU,6774,False,True,False,DB   34312
"Robert Gomez   ,   347 Cole Burgs
New Brandi, ME 47156   ,   21087",589-50-8572,14-1-91-35,7925203,Michael,Hall,"263 James Ways Suite 915
East Abigailmouth, AL 72620",Wyoming,299-10-151,1000,702.0,1473,2693,Maryport,5616,842.4,4763,714.45,2267,340.05,544,2040.3,661663,212,219,XA,3952,MM,3156,KU,1133,CP,9080,True,True,True,IB   96510
"Linda Reynolds   ,   6673 Vaughan Plains
Bennettville, CA 67933   ,   07979",519-84-2529,37-6-96-04,6723794,Elizabeth,Espinoza,"99700 Melinda Manor
Gibsonville, WV 82876",Wyoming,196-97-588,2023,785.875,2366,3533,Evansbury,6287,943.05,4078,611.7,2642,396.3,571,2377.8,487950,122,124,PB,7613,MC,6606,GM,4062,PY,4924,False,True,True,UX   11633
"Christy Coleman   ,   2693 Cruz Locks
North Chadside, IA 25032   ,   50070",110-43-1257,36-9-42-96,7717626,Joseph,Maxwell,"3446 Kevin Cliff
Richardsonchester, VA 83949",North Carolina,851-88-891,1295,1186.5,2856,2641,Millerland,9492,1423.8,2565,384.75,2246,336.9,775,2021.4,669436,288,279,FP,9131,YU,7358,KL,9045,MC,9129,True,True,True,ID   35210
"Bryan Odom   ,   64504 Mary Parkways Suite 495
Russellhaven, NY 17326   ,   14084",748-01-1152,50-6-29-71,2999266,Cindy,Smith,"8045 David Meadow
Jacksonmouth, LA 60066",Montana,670-97-392,1954,737.125,2842,3206,North Jose,5897,884.55,2819,422.85,3147,472.05,701,2832.3,14055,287,105,OU,2209,NO,8017,AM,6667,VZ,5481,True,True,True,IM   67016
"David Ramirez   ,   Unit 4927 Box 2786
DPO AE 88698   ,   53235",348-53-3983,13-4-60-21,3456268,Jason,Gonzales,"9244 Tiffany Courts
Anthonyport, GA 16281",New Jersey,579-98-434,2639,1098.375,1496,2852,Aprilmouth,8787,1318.05,2806,420.9,2048,307.2,521,1843.2,565208,210,105,ZV,5097,IB,9990,OP,1802,AG,6726,False,True,False,FJ   65516
"Colin Hill   ,   5474 Paul Square
North Richardfort, OR 61341   ,   59643",365-14-8929,93-7-53-20,9215034,John,Woods,"91703 Potter Glen
South Matthew, GA 96625",Maine,817-93-561,2009,749.0,1910,2984,Kathybury,5992,898.8,2832,424.8,2821,423.15,714,2538.9,820907,291,210,OD,7663,DC,7359,GT,5959,MG,6598,False,True,True,LZ   07722
"Danielle Mills   ,   295 Dana Cove Suite 832
Feliciahaven, VT 56801   ,   65451",689-13-4880,62-2-23-55,3715911,Roger,Lewis,"5137 Allen Burg
West Elizabeth, MD 04582",Wyoming,539-45-266,1328,739.625,2585,2234,Christopherport,5917,887.55,3135,470.25,3576,536.4,939,3218.4,197558,287,126,CA,2925,DG,9623,MR,6738,YM,5869,True,True,True,TY   25235
